# Rescaled matter transfer functions [-T_i(k)/k^2] for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=2.08097e-07 to 53.7839 h/Mpc,
# number of wavenumbers equal to 6856
# T_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# The rescaling factor [-1/k^2] with k in 1/Mpc is here to match the CMBFAST/CAMB output convention
#
#
#    1:k (h/Mpc)              2:-T_cdm/k2              3:-T_b/k2                4:-T_g/k2                5:-T_ur/k2               6:-T_ncdm/k2             7:-T_tot/k2          
       4.601619443353e-05       1.989318683084e+07       1.989317787082e+07       2.625345801892e+07       0.000000000000e+00       1.989488670695e+07       6.161191392676e+06 
       4.666878107498e-05       1.989317496493e+07       1.989316574946e+07       2.624574484164e+07       0.000000000000e+00       1.989487030284e+07       6.161187239752e+06 
       4.732168087249e-05       1.989316292644e+07       1.989315345185e+07       2.623792140044e+07       0.000000000000e+00       1.989485366004e+07       6.161183026534e+06 
       4.797489834877e-05       1.989315071507e+07       1.989314097765e+07       2.622998757563e+07       0.000000000000e+00       1.989483677813e+07       6.161178752916e+06 
       4.862843803359e-05       1.989313833050e+07       1.989312832655e+07       2.622194324592e+07       0.000000000000e+00       1.989481965665e+07       6.161174418795e+06 
       4.928230446396e-05       1.989312577242e+07       1.989311549822e+07       2.621378828831e+07       0.000000000000e+00       1.989480229518e+07       6.161170024060e+06 
       4.993650218416e-05       1.989311304049e+07       1.989310249233e+07       2.620552257820e+07       0.000000000000e+00       1.989478469324e+07       6.161165568604e+06 
       5.059103574590e-05       1.989310013439e+07       1.989308930854e+07       2.619714598929e+07       0.000000000000e+00       1.989476685038e+07       6.161161052316e+06 
       5.124590970840e-05       1.989308705379e+07       1.989307594651e+07       2.618865839367e+07       0.000000000000e+00       1.989474876614e+07       6.161156475084e+06 
       5.190112863851e-05       1.989307379833e+07       1.989306240591e+07       2.618005966176e+07       0.000000000000e+00       1.989473044003e+07       6.161151836793e+06 
       5.255669711077e-05       1.989306036769e+07       1.989304868637e+07       2.617134966231e+07       0.000000000000e+00       1.989471187158e+07       6.161147137329e+06 
       5.321261970760e-05       1.989304676151e+07       1.989303478754e+07       2.616252826245e+07       0.000000000000e+00       1.989469306029e+07       6.161142376574e+06 
       5.386890101932e-05       1.989303297943e+07       1.989302070907e+07       2.615359532765e+07       0.000000000000e+00       1.989467400568e+07       6.161137554410e+06 
       5.452554564429e-05       1.989301902111e+07       1.989300645058e+07       2.614455072172e+07       0.000000000000e+00       1.989465470725e+07       6.161132670717e+06 
       5.518255818904e-05       1.989300488617e+07       1.989299201171e+07       2.613539430684e+07       0.000000000000e+00       1.989463516448e+07       6.161127725372e+06 
       5.583994326834e-05       1.989299057425e+07       1.989297739208e+07       2.612612594350e+07       0.000000000000e+00       1.989461537686e+07       6.161122718253e+06 
       5.649770550533e-05       1.989297608497e+07       1.989296259132e+07       2.611674549060e+07       0.000000000000e+00       1.989459534387e+07       6.161117649235e+06 
       5.715584953161e-05       1.989296141796e+07       1.989294760903e+07       2.610725280534e+07       0.000000000000e+00       1.989457506498e+07       6.161112518190e+06 
       5.781437998735e-05       1.989294657284e+07       1.989293244484e+07       2.609764774330e+07       0.000000000000e+00       1.989455453967e+07       6.161107324991e+06 
       5.847330152141e-05       1.989293154921e+07       1.989291709833e+07       2.608793015841e+07       0.000000000000e+00       1.989453376737e+07       6.161102069507e+06 
       5.913261879146e-05       1.989291634669e+07       1.989290156912e+07       2.607809990295e+07       0.000000000000e+00       1.989451274756e+07       6.161096751608e+06 
       5.979233646404e-05       1.989290096488e+07       1.989288585681e+07       2.606815682754e+07       0.000000000000e+00       1.989449147967e+07       6.161091371160e+06 
       6.045245921472e-05       1.989288540338e+07       1.989286996097e+07       2.605810078119e+07       0.000000000000e+00       1.989446996313e+07       6.161085928028e+06 
       6.111299172817e-05       1.989286966177e+07       1.989285388120e+07       2.604793161122e+07       0.000000000000e+00       1.989444819739e+07       6.161080422076e+06 
       6.177393869830e-05       1.989285373966e+07       1.989283761708e+07       2.603764916335e+07       0.000000000000e+00       1.989442618186e+07       6.161074853166e+06 
       6.243530482835e-05       1.989283763661e+07       1.989282116817e+07       2.602725328164e+07       0.000000000000e+00       1.989440391596e+07       6.161069221158e+06 
       6.309709483100e-05       1.989282135221e+07       1.989280453406e+07       2.601674380848e+07       0.000000000000e+00       1.989438139911e+07       6.161063525910e+06 
       6.375931342851e-05       1.989280488603e+07       1.989278771431e+07       2.600612058467e+07       0.000000000000e+00       1.989435863069e+07       6.161057767280e+06 
       6.442196535279e-05       1.989278823764e+07       1.989277070847e+07       2.599538344933e+07       0.000000000000e+00       1.989433561011e+07       6.161051945123e+06 
       6.508505534552e-05       1.989277140660e+07       1.989275351611e+07       2.598453223996e+07       0.000000000000e+00       1.989431233677e+07       6.161046059291e+06 
       6.574858815828e-05       1.989275439248e+07       1.989273613676e+07       2.597356679241e+07       0.000000000000e+00       1.989428881002e+07       6.161040109638e+06 
       6.641256855266e-05       1.989273719481e+07       1.989271856998e+07       2.596248694090e+07       0.000000000000e+00       1.989426502926e+07       6.161034096013e+06 
       6.707700130034e-05       1.989271981315e+07       1.989270081530e+07       2.595129251800e+07       0.000000000000e+00       1.989424099385e+07       6.161028018264e+06 
       6.774189118324e-05       1.989270224704e+07       1.989268287227e+07       2.593998335467e+07       0.000000000000e+00       1.989421670315e+07       6.161021876239e+06 
       6.840724299362e-05       1.989268449602e+07       1.989266474039e+07       2.592855928022e+07       0.000000000000e+00       1.989419215651e+07       6.161015669782e+06 
       6.907306153419e-05       1.989266655962e+07       1.989264641921e+07       2.591702012231e+07       0.000000000000e+00       1.989416735327e+07       6.161009398736e+06 
       6.973935161821e-05       1.989264843737e+07       1.989262790823e+07       2.590536570701e+07       0.000000000000e+00       1.989414229278e+07       6.161003062943e+06 
       7.040611806963e-05       1.989263012878e+07       1.989260920698e+07       2.589359585871e+07       0.000000000000e+00       1.989411697436e+07       6.160996662243e+06 
       7.107336572319e-05       1.989261163338e+07       1.989259031495e+07       2.588171040020e+07       0.000000000000e+00       1.989409139734e+07       6.160990196473e+06 
       7.174109942454e-05       1.989259295067e+07       1.989257123165e+07       2.586970915264e+07       0.000000000000e+00       1.989406556103e+07       6.160983665471e+06 
       7.240932403035e-05       1.989257408016e+07       1.989255195657e+07       2.585759193556e+07       0.000000000000e+00       1.989403946473e+07       6.160977069069e+06 
       7.307804440842e-05       1.989255502134e+07       1.989253248921e+07       2.584535856685e+07       0.000000000000e+00       1.989401310776e+07       6.160970407102e+06 
       7.374726543781e-05       1.989253577373e+07       1.989251282905e+07       2.583300886280e+07       0.000000000000e+00       1.989398648940e+07       6.160963679400e+06 
       7.441699200895e-05       1.989251633679e+07       1.989249297557e+07       2.582054263807e+07       0.000000000000e+00       1.989395960894e+07       6.160956885793e+06 
       7.508722902374e-05       1.989249671003e+07       1.989247292824e+07       2.580795970567e+07       0.000000000000e+00       1.989393246565e+07       6.160950026106e+06 
       7.575798139571e-05       1.989247689291e+07       1.989245268654e+07       2.579525987704e+07       0.000000000000e+00       1.989390505881e+07       6.160943100167e+06 
       7.642925405007e-05       1.989245688490e+07       1.989243224993e+07       2.578244296197e+07       0.000000000000e+00       1.989387738768e+07       6.160936107799e+06 
       7.710105192390e-05       1.989243668548e+07       1.989241161786e+07       2.576950876864e+07       0.000000000000e+00       1.989384945150e+07       6.160929048823e+06 
       7.777337996623e-05       1.989241629411e+07       1.989239078978e+07       2.575645710361e+07       0.000000000000e+00       1.989382124954e+07       6.160921923060e+06 
       7.844624313813e-05       1.989239571025e+07       1.989236976515e+07       2.574328777183e+07       0.000000000000e+00       1.989379278103e+07       6.160914730328e+06 
       7.911964641292e-05       1.989237493333e+07       1.989234854341e+07       2.573000057666e+07       0.000000000000e+00       1.989376404519e+07       6.160907470444e+06 
       7.979359477617e-05       1.989235396282e+07       1.989232712398e+07       2.571659531983e+07       0.000000000000e+00       1.989373504126e+07       6.160900143221e+06 
       8.046809322593e-05       1.989233279814e+07       1.989230550630e+07       2.570307180146e+07       0.000000000000e+00       1.989370576845e+07       6.160892748474e+06 
       8.114314677276e-05       1.989231143874e+07       1.989228368979e+07       2.568942982008e+07       0.000000000000e+00       1.989367622596e+07       6.160885286011e+06 
       8.181876043994e-05       1.989228988404e+07       1.989226167387e+07       2.567566917261e+07       0.000000000000e+00       1.989364641300e+07       6.160877755644e+06 
       8.249493926349e-05       1.989226813346e+07       1.989223945795e+07       2.566178965437e+07       0.000000000000e+00       1.989361632875e+07       6.160870157178e+06 
       8.317168829238e-05       1.989224618643e+07       1.989221704144e+07       2.564779105908e+07       0.000000000000e+00       1.989358597241e+07       6.160862490418e+06 
       8.384901258861e-05       1.989222404234e+07       1.989219442374e+07       2.563367317888e+07       0.000000000000e+00       1.989355534314e+07       6.160854755169e+06 
       8.452691722732e-05       1.989220170061e+07       1.989217160423e+07       2.561943580429e+07       0.000000000000e+00       1.989352444011e+07       6.160846951230e+06 
       8.520540729696e-05       1.989217916063e+07       1.989214858232e+07       2.560507872426e+07       0.000000000000e+00       1.989349326249e+07       6.160839078403e+06 
       8.588448789936e-05       1.989215642180e+07       1.989212535738e+07       2.559060172614e+07       0.000000000000e+00       1.989346180941e+07       6.160831136484e+06 
       8.656416414989e-05       1.989213348351e+07       1.989210192879e+07       2.557600459572e+07       0.000000000000e+00       1.989343008003e+07       6.160823125268e+06 
       8.724444117758e-05       1.989211034514e+07       1.989207829592e+07       2.556128711717e+07       0.000000000000e+00       1.989339807348e+07       6.160815044551e+06 
       8.792532412521e-05       1.989208700606e+07       1.989205445813e+07       2.554644907310e+07       0.000000000000e+00       1.989336578889e+07       6.160806894122e+06 
       8.860681814949e-05       1.989206346564e+07       1.989203041479e+07       2.553149024455e+07       0.000000000000e+00       1.989333322536e+07       6.160798673772e+06 
       8.928892842114e-05       1.989203972325e+07       1.989200616524e+07       2.551641041098e+07       0.000000000000e+00       1.989330038202e+07       6.160790383288e+06 
       8.997166012506e-05       1.989201577825e+07       1.989198170883e+07       2.550120935027e+07       0.000000000000e+00       1.989326725796e+07       6.160782022457e+06 
       9.065501846039e-05       1.989199162998e+07       1.989195704490e+07       2.548588683874e+07       0.000000000000e+00       1.989323385227e+07       6.160773591062e+06 
       9.133900864071e-05       1.989196727779e+07       1.989193217278e+07       2.547044265114e+07       0.000000000000e+00       1.989320016404e+07       6.160765088885e+06 
       9.202363589412e-05       1.989194272103e+07       1.989190709180e+07       2.545487656068e+07       0.000000000000e+00       1.989316619235e+07       6.160756515705e+06 
       9.270890546340e-05       1.989191795902e+07       1.989188180129e+07       2.543918833898e+07       0.000000000000e+00       1.989313193624e+07       6.160747871300e+06 
       9.339482260609e-05       1.989189299109e+07       1.989185630056e+07       2.542337775613e+07       0.000000000000e+00       1.989309739480e+07       6.160739155446e+06 
       9.408139259468e-05       1.989186781656e+07       1.989183058891e+07       2.540744458066e+07       0.000000000000e+00       1.989306256705e+07       6.160730367916e+06 
       9.476862071670e-05       1.989184243475e+07       1.989180466565e+07       2.539138857956e+07       0.000000000000e+00       1.989302745205e+07       6.160721508483e+06 
       9.545651227486e-05       1.989181684497e+07       1.989177853007e+07       2.537520951826e+07       0.000000000000e+00       1.989299204883e+07       6.160712576915e+06 
       9.614507258719e-05       1.989179104651e+07       1.989175218147e+07       2.535890716067e+07       0.000000000000e+00       1.989295635640e+07       6.160703572979e+06 
       9.683430698714e-05       1.989176503867e+07       1.989172561912e+07       2.534248126916e+07       0.000000000000e+00       1.989292037378e+07       6.160694496442e+06 
       9.752422082375e-05       1.989173882075e+07       1.989169884230e+07       2.532593160456e+07       0.000000000000e+00       1.989288409997e+07       6.160685347067e+06 
       9.821481946176e-05       1.989171239202e+07       1.989167185029e+07       2.530925792619e+07       0.000000000000e+00       1.989284753397e+07       6.160676124614e+06 
       9.890610828177e-05       1.989168575176e+07       1.989164464235e+07       2.529245999182e+07       0.000000000000e+00       1.989281067477e+07       6.160666828843e+06 
       9.959809268031e-05       1.989165889924e+07       1.989161721772e+07       2.527553755773e+07       0.000000000000e+00       1.989277352134e+07       6.160657459510e+06 
       1.002907780701e-04       1.989163183372e+07       1.989158957567e+07       2.525849037867e+07       0.000000000000e+00       1.989273607264e+07       6.160648016370e+06 
       1.009841698799e-04       1.989160455447e+07       1.989156171544e+07       2.524131820789e+07       0.000000000000e+00       1.989269832764e+07       6.160638499176e+06 
       1.016782735551e-04       1.989157706072e+07       1.989153363625e+07       2.522402079713e+07       0.000000000000e+00       1.989266028529e+07       6.160628907679e+06 
       1.023730945575e-04       1.989154935173e+07       1.989150533735e+07       2.520659789663e+07       0.000000000000e+00       1.989262194452e+07       6.160619241625e+06 
       1.030686383654e-04       1.989152142673e+07       1.989147681796e+07       2.518904925514e+07       0.000000000000e+00       1.989258330427e+07       6.160609500763e+06 
       1.037649104742e-04       1.989149328495e+07       1.989144807728e+07       2.517137461992e+07       0.000000000000e+00       1.989254436345e+07       6.160599684834e+06 
       1.044619163958e-04       1.989146492561e+07       1.989141911454e+07       2.515357373674e+07       0.000000000000e+00       1.989250512099e+07       6.160589793582e+06 
       1.051596616596e-04       1.989143634793e+07       1.989138992893e+07       2.513564634990e+07       0.000000000000e+00       1.989246557576e+07       6.160579826746e+06 
       1.058581518119e-04       1.989140755113e+07       1.989136051965e+07       2.511759220223e+07       0.000000000000e+00       1.989242572669e+07       6.160569784062e+06 
       1.065573924164e-04       1.989137853439e+07       1.989133088589e+07       2.509941103507e+07       0.000000000000e+00       1.989238557263e+07       6.160559665265e+06 
       1.072573890543e-04       1.989134929692e+07       1.989130102682e+07       2.508110258833e+07       0.000000000000e+00       1.989234511247e+07       6.160549470089e+06 
       1.079581473245e-04       1.989131983791e+07       1.989127094163e+07       2.506266660044e+07       0.000000000000e+00       1.989230434506e+07       6.160539198264e+06 
       1.086596728434e-04       1.989129015654e+07       1.989124062948e+07       2.504410280840e+07       0.000000000000e+00       1.989226326927e+07       6.160528849517e+06 
       1.093619712455e-04       1.989126025198e+07       1.989121008953e+07       2.502541094774e+07       0.000000000000e+00       1.989222188393e+07       6.160518423576e+06 
       1.100650481834e-04       1.989123012341e+07       1.989117932094e+07       2.500659075257e+07       0.000000000000e+00       1.989218018788e+07       6.160507920163e+06 
       1.107689093277e-04       1.989119976997e+07       1.989114832284e+07       2.498764195557e+07       0.000000000000e+00       1.989213817994e+07       6.160497338999e+06 
       1.114735603673e-04       1.989116919083e+07       1.989111709438e+07       2.496856428800e+07       0.000000000000e+00       1.989209585892e+07       6.160486679804e+06 
       1.121790070099e-04       1.989113838513e+07       1.989108563470e+07       2.494935747969e+07       0.000000000000e+00       1.989205322363e+07       6.160475942294e+06 
       1.128852549813e-04       1.989110735201e+07       1.989105394290e+07       2.493002125907e+07       0.000000000000e+00       1.989201027285e+07       6.160465126183e+06 
       1.135923100265e-04       1.989107609061e+07       1.989102201811e+07       2.491055535316e+07       0.000000000000e+00       1.989196700537e+07       6.160454231183e+06 
       1.143001779092e-04       1.989104460004e+07       1.989098985944e+07       2.489095948758e+07       0.000000000000e+00       1.989192341997e+07       6.160443257003e+06 
       1.150088644121e-04       1.989101287942e+07       1.989095746600e+07       2.487123338658e+07       0.000000000000e+00       1.989187951539e+07       6.160432203351e+06 
       1.157183753373e-04       1.989098092787e+07       1.989092483686e+07       2.485137677300e+07       0.000000000000e+00       1.989183529041e+07       6.160421069932e+06 
