# Rescaled matter transfer functions [-T_i(k)/k^2] for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=2.08097e-07 to 53.7894 h/Mpc,
# number of wavenumbers equal to 6855
# T_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# The rescaling factor [-1/k^2] with k in 1/Mpc is here to match the CMBFAST/CAMB output convention
#
#
#    1:k (h/Mpc)              2:-T_cdm/k2              3:-T_b/k2                4:-T_g/k2                5:-T_ur/k2               6:-T_ncdm/k2             7:-T_tot/k2          
       7.446707118187e-05       1.989262875256e+07       1.989260536476e+07       2.581973466757e+07       0.000000000000e+00       1.988853929844e+07       6.160931220453e+06 
       7.513778608536e-05       1.989260914860e+07       1.989258533975e+07       2.580713436579e+07       0.000000000000e+00       1.988851251468e+07       6.160924370545e+06 
       7.580901739152e-05       1.989258935449e+07       1.989256512056e+07       2.579441699715e+07       0.000000000000e+00       1.988848547083e+07       6.160917454471e+06 
       7.648077003616e-05       1.989256936969e+07       1.989254470665e+07       2.578158237096e+07       0.000000000000e+00       1.988845816616e+07       6.160910472055e+06 
       7.715304896697e-05       1.989254919367e+07       1.989252409747e+07       2.576863029489e+07       0.000000000000e+00       1.988843059992e+07       6.160903423119e+06 
       7.782585914363e-05       1.989252882589e+07       1.989250329248e+07       2.575556057500e+07       0.000000000000e+00       1.988840277138e+07       6.160896307483e+06 
       7.849920553794e-05       1.989250826582e+07       1.989248229113e+07       2.574237301575e+07       0.000000000000e+00       1.988837467979e+07       6.160889124965e+06 
       7.917309313394e-05       1.989248751289e+07       1.989246109284e+07       2.572906741996e+07       0.000000000000e+00       1.988834632438e+07       6.160881875382e+06 
       7.984752692801e-05       1.989246656657e+07       1.989243969707e+07       2.571564358884e+07       0.000000000000e+00       1.988831770439e+07       6.160874558548e+06 
       8.052251192899e-05       1.989244542627e+07       1.989241810324e+07       2.570210132202e+07       0.000000000000e+00       1.988828881904e+07       6.160867174276e+06 
       8.119805315836e-05       1.989242409144e+07       1.989239631076e+07       2.568844041748e+07       0.000000000000e+00       1.988825966755e+07       6.160859722377e+06 
       8.187415565026e-05       1.989240256151e+07       1.989237431907e+07       2.567466067161e+07       0.000000000000e+00       1.988823024913e+07       6.160852202659e+06 
       8.255082445170e-05       1.989238083590e+07       1.989235212757e+07       2.566076187922e+07       0.000000000000e+00       1.988820056298e+07       6.160844614931e+06 
       8.322806462264e-05       1.989235891403e+07       1.989232973567e+07       2.564674383347e+07       0.000000000000e+00       1.988817060830e+07       6.160836958997e+06 
       8.390588123612e-05       1.989233679530e+07       1.989230714276e+07       2.563260632597e+07       0.000000000000e+00       1.988814038426e+07       6.160829234661e+06 
       8.458427937838e-05       1.989231447912e+07       1.989228434824e+07       2.561834914669e+07       0.000000000000e+00       1.988810989005e+07       6.160821441723e+06 
       8.526326414898e-05       1.989229196489e+07       1.989226135151e+07       2.560397208404e+07       0.000000000000e+00       1.988807912483e+07       6.160813579984e+06 
       8.594284066096e-05       1.989226925201e+07       1.989223815193e+07       2.558947492482e+07       0.000000000000e+00       1.988804808777e+07       6.160805649241e+06 
       8.662301404090e-05       1.989224633986e+07       1.989221474890e+07       2.557485745425e+07       0.000000000000e+00       1.988801677802e+07       6.160797649290e+06 
       8.730378942910e-05       1.989222322782e+07       1.989219114177e+07       2.556011945594e+07       0.000000000000e+00       1.988798519472e+07       6.160789579924e+06 
       8.798517197967e-05       1.989219991527e+07       1.989216732991e+07       2.554526071195e+07       0.000000000000e+00       1.988795333701e+07       6.160781440934e+06 
       8.866716686067e-05       1.989217640157e+07       1.989214331269e+07       2.553028100274e+07       0.000000000000e+00       1.988792120401e+07       6.160773232112e+06 
       8.934977925425e-05       1.989215268610e+07       1.989211908945e+07       2.551518010720e+07       0.000000000000e+00       1.988788879486e+07       6.160764953244e+06 
       9.003301435675e-05       1.989212876821e+07       1.989209465954e+07       2.549995780264e+07       0.000000000000e+00       1.988785610865e+07       6.160756604116e+06 
       9.071687737885e-05       1.989210464724e+07       1.989207002230e+07       2.548461386479e+07       0.000000000000e+00       1.988782314450e+07       6.160748184512e+06 
       9.140137354567e-05       1.989208032256e+07       1.989204517706e+07       2.546914806783e+07       0.000000000000e+00       1.988778990149e+07       6.160739694214e+06 
       9.208650809693e-05       1.989205579348e+07       1.989202012314e+07       2.545356018437e+07       0.000000000000e+00       1.988775637871e+07       6.160731133002e+06 
       9.277228628705e-05       1.989203105936e+07       1.989199485988e+07       2.543784998546e+07       0.000000000000e+00       1.988772257525e+07       6.160722500653e+06 
       9.345871338531e-05       1.989200611951e+07       1.989196938659e+07       2.542201724057e+07       0.000000000000e+00       1.988768849016e+07       6.160713796943e+06 
       9.414579467595e-05       1.989198097326e+07       1.989194370257e+07       2.540606171764e+07       0.000000000000e+00       1.988765412250e+07       6.160705021646e+06 
       9.483353545830e-05       1.989195561992e+07       1.989191780712e+07       2.538998318307e+07       0.000000000000e+00       1.988761947134e+07       6.160696174533e+06 
       9.552194104695e-05       1.989193005879e+07       1.989189169955e+07       2.537378140167e+07       0.000000000000e+00       1.988758453571e+07       6.160687255374e+06 
       9.621101677184e-05       1.989190428919e+07       1.989186537913e+07       2.535745613675e+07       0.000000000000e+00       1.988754931464e+07       6.160678263937e+06 
       9.690076797839e-05       1.989187831040e+07       1.989183884516e+07       2.534100715007e+07       0.000000000000e+00       1.988751380717e+07       6.160669199986e+06 
